Paper title,Year,Venue or preprint status,Link,Code / project page if available,Core problem,Input assumptions,Representation used,Whether it uses 3DGS / 2DGS / surface Gaussians / SDF / mesh / neural field / hybrid representation,Whether it handles specular reflection,Whether it handles mirror-like reflection,Whether it handles near-field reflection,Whether it handles inter-reflection,Whether it outputs mesh,Whether it outputs UV texture maps,Whether it outputs PBR material maps,Whether it supports relighting,Whether it supports material editing,Geometry supervision,Normal estimation strategy,Material decomposition strategy,Rendering model,Main loss functions,Datasets,Metrics,Strengths,Limitations explicitly stated by the authors,Limitations inferred by you,Key evidence: section / page / figure / equation reference
GS-ROR²: Bidirectional-guided 3DGS and SDF for Reflective Object Relighting and Reconstruction,2024,arXiv preprint,https://arxiv.org/abs/2406.18544,,Reflective object relighting and reconstruction.,Posed RGB reflective objects.,Coupled 3DGS and SDF.,Hybrid 3DGS + SDF,Yes,Reflective/glossy,Limited,No full multi-bounce,Yes via SDF,No,Material/relighting attributes,Yes,Potential,Bidirectional depth/normal guidance.,SDF and Gaussian normals supervise each other.,Deferred shading/material estimation.,Gaussian splatting plus SDF-aware deferred shading.,"RGB, depth/normal, SDF consistency, shading.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Close reflective mesh+relighting route.,Extra SDF cost/complexity.,No UV/PBR texture-map export.,arXiv abstract.
NeRSP: Neural 3D Reconstruction for Reflective Objects with Sparse Polarized Images,2024,CVPR,https://arxiv.org/abs/2406.07111,,Sparse reflective reconstruction with polarization.,Sparse polarized images and poses.,Neural implicit surface plus polarization.,SDF / neural field + polarization,Yes,Reflective partial,No,No,Yes via implicit surface,No,No,No,No,Polarization image formation and multiview azimuth consistency.,Polarization-derived normals.,None,Neural surface rendering with polarization.,"Photometric, Eikonal, polarization/azimuth.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Strong physical signal under sparse views.,Requires polarization capture.,Not RGB-only GS or UV baking.,CVPR abstract; Sec. 3.
GUS-IR: Gaussian Splatting with Unified Shading for Inverse Rendering,2024,arXiv preprint,https://arxiv.org/abs/2411.07478,,Unified shading for GS inverse rendering.,Posed RGB.,3DGS with unified forward/deferred shading.,3DGS + PBR,Yes,No mirror-specific,No,Approximate indirect/occlusion,No,No,PBR-like attributes,Yes,Yes,Normal and AO regularization.,Shortest-axis plus depth-regularized normals.,BRDF/material and illumination.,Unified shading and AO baking.,"RGB, material, normal, AO.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Improves shading consistency.,Approximate indirect illumination.,No mesh/UV or near-field reflection model.,arXiv abstract.
Relightable 3D Gaussians: Realistic Point Cloud Relighting with BRDF Decomposition and Ray Tracing,2024,ECCV,https://eccv.ecva.net/virtual/2024/poster/2401,,Relightable Gaussian/point-cloud assets.,Posed images/point cloud.,"Gaussians/points with normals, BRDF, incident light.",3DGS / point PBR,Yes,No mirror-specific,Visibility/shadows,Secondary visibility,No,No,BRDF parameters,Yes,Yes,Normals and ray tracing visibility.,Estimated primitive normals.,BRDF decomposition.,Point-based PBR with BVH ray tracing.,"Photometric, BRDF, light, visibility.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Ray tracing gives stronger visibility.,Visibility precompute/complexity.,Not UV mesh focused.,ECCV abstract/poster.
GIR: 3D Gaussian Inverse Rendering for Relightable Scene Factorization,2025,TPAMI,https://3dgir.github.io/,https://3dgir.github.io/,Relightable scene factorization.,Posed RGB.,3DGS with geometry/material/illumination.,3DGS + inverse rendering,Yes,No mirror-specific,No,Simulated indirect,No,No,Material attributes,Yes,Yes,Self-regularized normals and illumination.,Self-regularized normals.,Material/illumination estimation.,Gaussian inverse rendering with indirect approximation.,"RGB, normal/material/light regularizers.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Mature relightable GS factorization.,Normals approximated.,No mesh/UV/PBR asset.,Project page.
SVG-IR: Spatially-Varying Gaussian Splatting for Inverse Rendering,2025,CVPR,https://openaccess.thecvf.com/content/CVPR2025/html/Sun_SVG-IR_Spatially-Varying_Gaussian_Splatting_for_Inverse_Rendering_CVPR_2025_paper.html,,Spatially varying GS inverse rendering.,Posed RGB.,Spatially varying Gaussian attributes.,3DGS + inverse rendering,Yes,No mirror-specific,No,Indirect lighting approximate,No,No,Spatially varying BRDF attributes,Yes,Yes,Physically based indirect lighting/material supervision.,Spatially varying normal/material per Gaussian.,BRDF parameter fields.,SVG splatting with PBR indirect lighting.,"RGB, material/normal smoothness, relighting.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Fixes constant-per-Gaussian limitation.,Not UV-baked mesh asset.,Hard mirror/near-field reflections not targeted.,CVPR abstract.
TexGaussian: Generating High-quality PBR Material via Octree-based 3D Gaussian Splatting,2025,CVPR,https://3d-aigc.github.io/TexGaussian/,https://3d-aigc.github.io/TexGaussian/,Generate PBR material textures for meshes.,Input mesh and generative conditioning.,Octree-aligned 3DGS over mesh with UV baking.,Mesh + 3DGS texture generation,PBR specular output,No reconstruction,No,No,Input mesh,Yes,Yes,Yes through PBR,Yes,Mesh geometry given.,Mesh normals.,Albedo/roughness/metallic prediction and baking.,Multiview PBR rendering and texture baking.,PBR multiview and texture consistency.,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Important UV/PBR baking reference.,"Generation, not inverse capture.",Baking stage useful but reconstruction signal absent.,Project page.
NeRD: Neural Reflectance Decomposition from Image Collections,2021,ICCV,https://arxiv.org/abs/2012.03918,https://markboss.me/publication/2021-nerd/,Recover relightable textured mesh.,Image collections under varying illumination.,Neural reflectance volume convertible to mesh.,Neural field + mesh output,Yes,No mirror-specific,No,No,Yes,Textured mesh,BRDF/material maps,Yes,Yes,Multiview plus varying illumination constraints.,Learned geometry normals.,Neural BRDF decomposition.,Physically based rendering.,"Photometric, geometry, material, light.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Asset-oriented inverse-rendering precedent.,Pre-3DGS and slower.,Useful output target but not fast reflective GS.,ICCV abstract.
PhySG: Inverse Rendering with Spherical Gaussians for Physics-based Material Editing and Relighting,2021,CVPR,https://kai-46.github.io/PhySG-website/,https://kai-46.github.io/PhySG-website/,Joint geometry/material/light recovery.,Posed RGB object images.,SDF with spherical-Gaussian BRDF/light.,SDF / neural field,Yes,Glossy not pure mirror,No,Approximate visibility,Yes via SDF,No,BRDF fields,Yes,Yes,SDF photometric/Eikonal.,SDF gradients.,SG BRDF and illumination.,Closed-form SG approximation to rendering equation.,"Photometric, Eikonal, material/light.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Strong physical decomposition baseline.,Approximate SG lighting.,No GS speed or UV baking.,CVPR project/paper.
NeRFactor: Neural Factorization of Shape and Reflectance Under an Unknown Illumination,2021,SIGGRAPH Asia / TOG,https://arxiv.org/abs/2106.01970,https://xiuming.info/projects/nerfactor/,"Factor shape, reflectance, visibility, illumination.",Posed RGB under unknown illumination; pretrained NeRF.,Neural fields distilled from NeRF.,Neural field,Yes,No mirror-specific,No,Visibility only,"Possible, not primary",No,BRDF fields,Yes,Yes,Distilled geometry/visibility priors.,Density/surface normals.,"Albedo, BRDF, environment with priors.",Visibility-aware rendering equation.,"Photometric, BRDF prior, smoothness.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Classic prior-driven inverse rendering.,Underconstrained and prior-dependent.,No GS or mesh/UV asset pipeline.,TOG abstract.
TensoIR: Tensorial Inverse Rendering,2023,CVPR,https://arxiv.org/abs/2304.12461,https://haian-jin.github.io/TensoIR/,Efficient neural inverse rendering with secondary effects.,Posed RGB.,Tensor-factorized neural field.,Neural field,Yes,No mirror-specific,No,Secondary effects approximate,Possible,No,BRDF fields,Yes,Yes,Volumetric/surface constraints.,Geometry-field normals.,Reflectance and illumination tensors.,Physically based rendering with secondary effects.,"Photometric, material, light, geometry.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Efficient neural inverse rendering baseline.,Not mesh/UV-native.,Not target asset format or mirror-focused.,CVPR abstract.
"nvdiffrec: Extracting Triangular 3D Models, Materials, and Lighting From Images",2022,CVPR oral,https://nvlabs.github.io/nvdiffrec/,https://github.com/NVlabs/nvdiffrec,Extract graphics-ready mesh/material/light.,"Posed images, masks, object-centric capture.",Triangle mesh with PBR textures.,Mesh + PBR,Yes,Moderate specular,No,No,Yes,Yes,Yes,Yes,Yes,Differentiable rasterization and masks.,Mesh normals.,SVBRDF/PBR texture optimization.,Rasterized PBR with split-sum environment lighting.,"Photometric, mask, regularization.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Strong target-output precedent.,Needs good masks/capture; reflective ambiguity remains.,Hard reflective surfaces need additional reflection constraints.,CVPR project.
Stanford-ORB: A Real-World 3D Object Inverse Rendering Benchmark,2023,NeurIPS Datasets and Benchmarks,https://stanfordorb.github.io/,https://stanfordorb.github.io/,Benchmark inverse rendering and relighting.,Captured HDR object dataset.,"Dataset with images, meshes, lights.",Dataset,Contains specular materials,Some shiny objects,Captured light-box/HDR,Physical but not isolated,Provides meshes,Reference assets,Reference materials,Evaluation,No method,Ground truth capture.,GT/reference normals and meshes.,Benchmark references.,Evaluation renderer.,N/A,"14 objects, HDR images, HDR env maps.","Depth, normal, shape, PSNR-H/L, SSIM, LPIPS.",Real benchmark for material/relighting.,Limited object count.,May not stress near-field mirror objects enough.,Project page counts/metrics.
OpenIllumination: A Multi-Illumination Dataset for Inverse Rendering Evaluation on Real Objects,2023,NeurIPS Datasets and Benchmarks,https://openreview.net/forum?id=pRnrg2bWr0,https://oppo-us-research.github.io/OpenIllumination/,Controlled multi-view multi-light benchmark.,64 real objects with many views/lights.,Dataset.,Dataset,Includes varied materials,Some glossy/specular,Controlled lighting,Physical but not isolated,Provides cameras/masks/lights,No method,Evaluation references,Evaluation,No method,GT cameras/lights/masks.,N/A.,Benchmark setting.,Benchmark rendering/evaluation.,N/A,"108K+ images, 64 objects, 72 views, many illuminations.",Relighting/material/geometry metrics.,Strong controlled evaluation source.,Controlled rig.,Not uncontrolled near-field mirror setting.,OpenReview abstract.
RAGS: Roughness-Aware Gaussian Splatting for Reflective Objects Surface Reconstruction,2026,Knowledge-Based Systems,https://www.sciencedirect.com/science/article/pii/S0950705126005812,,Reflective object reconstruction with roughness-aware BRDF.,Posed RGB reflective objects.,3DGS with Ward BRDF and roughness.,3DGS + BRDF,Yes,Glossy partial,No explicit,No,Surface likely,No,Roughness/material attributes,Potential,Potential,Physically based geometry optimization.,Gaussian/surface normals.,Ward BRDF roughness prediction.,Differentiable rendering equation.,"RGB, roughness/material, geometry.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Recent explicit roughness-aware reflective GS.,Full details require paper access.,Near-field/inter-reflection and UV baking not central.,ScienceDirect abstract snippet.
GIP-GS: Glossy Image Prior-guided Gaussian Splatting for Reflective Surface Reconstruction,2026,Neural Networks,https://www.sciencedirect.com/science/article/pii/S0893608026001152,,Decouple geometry and appearance for glossy surfaces.,Posed RGB; glossy-image prior.,Two-stage PGSR-derived GS.,3DGS/planar GS + prior,Yes,Glossy,No explicit,No,Yes,No,No,No,No,Glossy image prior and staged geometry/appearance separation.,Geometry prior normals/depth.,"Appearance decoupling, not PBR maps.",Gaussian rasterization.,RGB and prior-guided geometry/appearance.,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Directly attacks entanglement.,Full details require paper access.,No PBR UV asset; priors can fail on unusual reflections.,ScienceDirect abstract snippet.
RTR-GS: 3D Gaussian Splatting for Inverse Rendering with Radiance Transfer and Reflection,2025,ACM Multimedia,https://arxiv.org/abs/2507.07733,https://fanglue.github.io/papers/RTR_GS_MM.pdf,Radiance-transfer and reflection-aware GS inverse rendering.,Posed RGB.,"3DGS with radiance transfer, BRDF, lighting.",3DGS + inverse rendering,Yes,No mirror-specific,Unclear,Secondary effects via radiance transfer,No,No,BRDF attributes,Yes,Yes,Radiance-transfer constraints.,Regularized Gaussian normals.,BRDF and lighting decomposition.,Rasterization/ray-tracing hybrid radiance transfer.,"RGB, BRDF/light/radiance-transfer.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Stronger light transport than split-sum only.,Not UV mesh-focused.,Near-field mirror geometry remains open.,arXiv abstract; ACM MM PDF.
Ref-DGS: Reflective Dual Gaussian Splatting,2026,arXiv preprint,https://arxiv.org/abs/2603.07664,project linked from arXiv,Efficient near-field reflective rendering.,Posed RGB reflective scenes.,Geometry Gaussians plus local reflection Gaussians.,Dual 3DGS,Yes,Reflective/glossy,Yes,No full multi-bounce,Surface reconstruction supported,No,No,No,No,Decoupled surface/reflection representations.,Geometry normals for reflection direction.,"Adaptive mixing shader, not PBR maps.",Rasterized dual GS with local/global reflection mixing.,"RGB, reflection mixing, geometry.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Near-field reflection without expensive ray tracing.,Preprint; approximation depends on mixing.,No UV/PBR mesh asset or inter-reflection.,arXiv abstract.
RT-GS: Gaussian Splatting with Reflection and Transmittance Primitives,2026,arXiv preprint,https://arxiv.org/abs/2604.00509,,Joint reflection and transmittance effects.,Posed RGB with reflective/transparent effects.,Separate reflection/transmittance primitives with ray tracing.,3DGS + ray tracing + material,Yes,Specular partial,Ray-traced,Partial paths,Geometry possible,No,Microfacet attributes,Potential,Potential,Ray-traced primitive constraints.,Surface normals for microfacet reflection.,Microfacet material model.,Ray tracing plus Gaussian primitives.,"RGB, primitive separation, material/geometry.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Explicit reflective and transparent transport.,Higher cost and broader scope.,UV mesh/material baking absent.,arXiv abstract.
MSGS: Multi-space Gaussian Splatting for Mirror Reflections,2026,Computers and Graphics,https://www.sciencedirect.com/science/article/abs/pii/S0097849326000555,,Mirror reflection view inconsistency in GS.,Posed RGB mirror scenes.,Multi-space GS with anisotropic features.,3DGS + mirror/multi-space,Yes,Yes,Mirror virtual objects,Single-bounce mirror,No,No,No,No,Maybe,Mirror-space consistency.,Mirror plane/space geometry.,None,Multi-space Gaussian rendering.,Photometric and multi-space consistency.,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Addresses virtual-object inconsistency.,Mirror-scene assumptions.,Not curved reflective object material mapping.,ScienceDirect abstract snippet.
2D-SuGaR: 2D Gaussian Splatting for Surface-Aligned Mesh Extraction,2025,arXiv / project,https://arxiv.org/search/?query=2D-SuGaR,,Mesh extraction with 2DGS/SuGaR ideas.,Posed RGB/trained GS.,2D surface splats plus mesh extraction.,2DGS + mesh,No,No,No,No,Yes,No,No,No,No,Surface alignment/depth fusion.,2D disk/mesh normals.,None,2DGS rendering and mesh extraction.,"RGB, depth/normal, alignment.",Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Natural 2DGS mesh-extraction route.,Exact paper details need verification.,Reflective material and UV/PBR outputs not addressed.,Web search follow-up; lower-confidence adjacent work.
Quadratic Gaussian Splatting: High Quality Surface Reconstruction with Second-order Geometric Prior,2025,ICCV,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_Quadratic_Gaussian_Splatting_High_Quality_Surface_Reconstruction_with_Second-order_Geometric_ICCV_2025_paper.pdf,,High-quality surface reconstruction with curvature prior.,Posed RGB.,Quadratic Gaussian local surface model.,Surface Gaussians / second-order geometry,No,No,No,No,Yes,No,No,No,No,Second-order geometry prior.,Quadratic surface normals.,None,Gaussian rendering with local quadratic surface model.,RGB and second-order geometry losses.,Paper-specific benchmarks,PSNR/SSIM/LPIPS and/or geometry metrics,Improves local curvature beyond planar splats.,Not material/reflection-aware.,Specular highlights remain unmodeled.,ICCV 2025 CVF PDF.
